#model_id,model_type,max_train_auroc
0,lr-m,0.7127659574468085
1,rf-m,0.8055555555555557
2,rf-m,0.7818627450980393
3,rf-m,0.9000000000000001
4,sv-m,0.9179487179487179
5,rf-r,0.7051282051282051
6,rf-m,0.7878787878787878
7,rf-r,0.6900584795321637
8,lr-r,0.7160493827160493
9,rf-m,0.8194444444444443
10,rf-r,0.7948717948717948
11,lr-m,0.7403846153846154
12,rf-m,0.8365079365079366
13,lr-m,0.7888888888888889
14,rf-r,0.775
15,rf-m,0.7777777777777778
16,rf-r,0.6607142857142857
17,lr-m,0.7155172413793104
18,rf-r,0.7727272727272727
19,rf-r,0.8023809523809524
20,rf-m,0.8957264957264959
21,lr-r,0.67
22,rf-r,0.7696078431372548
23,lr-r,0.7427536231884058
24,lr-m,0.7352941176470589
25,rf-m,0.7651515151515151
26,rf-r,0.7365591397849464
27,rf-r,0.742063492063492
28,rf-r,0.787037037037037
29,sv-m,0.7736842105263158
30,rf-m,0.7962962962962963
31,rf-r,0.9
32,sv-m,0.8523809523809524
33,lr-r,0.7
34,rf-m,0.82
35,rf-r,0.7857142857142857
36,rf-m,0.6866666666666665
37,sv-m,0.8294117647058824
38,rf-r,0.8333333333333333
39,sv-m,0.8738095238095238
40,lr-r,0.6845238095238094
41,rf-r,0.8938492063492064
42,rf-m,0.6964285714285714
43,rf-m,0.7348484848484848
44,rf-m,0.8420289855072466
45,lr-m,0.78125
46,lr-m,0.7470238095238094
47,lr-m,0.8035714285714286
48,lr-m,0.8143939393939394
49,rf-r,0.8
50,rf-m,0.8261904761904763
51,lr-r,0.7007575757575757
52,lr-r,0.7630208333333333
53,rf-m,0.8366666666666667
54,lr-m,0.7965686274509803
55,lr-r,0.855654761904762
56,rf-m,0.8095238095238094
57,rf-r,0.7393939393939394
58,lr-m,0.7984375
59,rf-r,0.7280701754385966
60,rf-m,0.8333333333333334
61,rf-m,0.7849462365591398
62,lr-m,0.7692307692307693
63,lr-r,0.7521367521367522
64,rf-m,0.7701149425287357
65,lr-m,0.7738095238095237
66,rf-r,0.711111111111111
67,rf-r,0.7391304347826086
68,rf-m,0.7875
69,lr-m,0.7564102564102563
70,rf-m,0.7578616352201257
71,rf-m,0.8119047619047619
72,lr-r,0.8949999999999999
73,rf-r,0.6827956989247311
74,rf-m,0.79320987654321
75,lr-r,0.8125
76,rf-m,0.8680555555555556
77,lr-m,0.7847222222222222
78,rf-m,0.8
79,rf-m,0.7727272727272727
80,lr-m,0.7401960784313725
81,rf-m,0.8518518518518517
82,lr-r,0.6892655367231638
83,lr-r,0.7172619047619048
84,lr-r,0.744047619047619
85,rf-r,0.7583333333333333
86,lr-m,0.75
87,lr-m,0.7682926829268292
88,rf-r,0.7474747474747475
89,rf-r,0.65
90,rf-r,0.8589743589743589
91,rf-m,0.7121212121212122
92,rf-m,0.8484848484848484
93,rf-m,0.725
94,lr-m,0.75
95,lr-r,0.8888888888888888
96,rf-r,0.8205128205128205
97,rf-m,0.7566666666666666
98,rf-m,0.7727272727272727
99,rf-m,0.7863247863247863
100,sv-m,0.8166666666666667
101,rf-m,0.6881720430107526
102,sv-m,0.8040000000000002
103,rf-m,0.8219696969696969
104,rf-r,0.7738095238095237
105,sv-m,0.8452380952380953
106,rf-r,0.7816666666666666
107,rf-r,0.7450980392156863
108,lr-m,0.7456140350877193
109,lr-m,0.8181818181818182
110,rf-r,0.7999999999999999
111,lr-m,0.7611111111111111
112,lr-m,0.828125
113,lr-m,0.8070175438596491
114,sv-m,0.8270833333333334
