#dir	item	auroc	lower-auroc	upper-auroc	precision	lower-pre	upper-pre	recall	lower-re	upper-re	tp	fp	fn	tn
../evaluation_study_models_gaze	NEUTR	0.449	0.159	0.772	0.036	0.0	0.103	0.25	0.0	0.667	1.0	27.0	3.0	37.0
../evaluation_study_models_gaze	vancomycin	0.607	0.495	0.728	0.283	0.194	0.387	1.0	1.0	1.0	17.0	43.0	0.0	8.0
../evaluation_study_models_gaze	VTHR	0.586	0.46	0.711	0.656	0.567	0.766	0.952	0.894	1.0	40.0	21.0	2.0	5.0
../evaluation_study_models_gaze	levothyroxine	0.985	0.969	1.0	0.038	0.032	0.125	1.0	1.0	1.0	1.0	25.0	0.0	42.0
../evaluation_study_models_gaze	LACT	0.615	0.485	0.756	0.13	0.037	0.273	0.273	0.071	0.5	3.0	20.0	8.0	37.0
../evaluation_study_models_gaze	VTSO2A	0.501	0.397	0.63	0.406	0.312	0.516	0.897	0.8	0.971	26.0	38.0	3.0	1.0
../evaluation_study_models_gaze	PTT	0.299	0.216	0.396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1.0	47.0
../evaluation_study_models_gaze	O2VENT	0.707	0.589	0.804	0.5	0.381	0.617	0.889	0.781	0.971	24.0	24.0	3.0	17.0
../evaluation_study_models_gaze	fentanyl	0.64	0.5	0.775	0.333	0.0	0.667	0.143	0.0	0.308	2.0	4.0	12.0	50.0
../evaluation_study_models_gaze	midazolam	0.652	0.507	0.791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	2.0	51.0
../evaluation_study_models_gaze	pantoprazole	0.639	0.479	0.769	0.231	0.077	0.333	0.667	0.333	0.9	6.0	20.0	3.0	39.0
../evaluation_study_models_gaze	D5NS	0.697	0.614	0.797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	62.0
../evaluation_study_models_gaze	chlorhexidine topical	0.481	0.259	0.706	0.097	0.028	0.188	0.5	0.143	0.857	3.0	28.0	3.0	34.0
../evaluation_study_models_gaze	VTTEMA	0.484	0.37	0.606	0.6	0.458	0.735	0.5	0.385	0.641	21.0	14.0	21.0	12.0
../evaluation_study_models_gaze	CO2	0.553	0.427	0.687	0.283	0.17	0.373	1.0	1.0	1.0	15.0	38.0	0.0	15.0
../evaluation_study_models_gaze	famotidine	0.413	0.208	0.628	0.125	0.0	0.333	0.167	0.0	0.5	1.0	7.0	5.0	55.0
../evaluation_study_models_gaze	DBILI	0.515	0.347	0.629	0	0	0	0.0	0.0	0.0	0.0	0.0	9.0	59.0
../evaluation_study_models_gaze	CREAT	0.395	0.225	0.579	0.806	0.676	0.914	0.424	0.309	0.518	25.0	6.0	34.0	3.0
../evaluation_study_models_gaze	VTCVP	0.644	0.262	0.985	0.022	0.0	0.068	0.5	0.0	1.0	1.0	44.0	1.0	22.0
../evaluation_study_models_gaze	Sodium Chloride 0.9%	0.436	0.298	0.544	0.35	0.143	0.5	0.25	0.097	0.36	7.0	13.0	21.0	27.0
../evaluation_study_models_gaze	furosemide	0.395	0.09	0.918	0.1	0.0	0.286	0.333	0.0	1.0	1.0	9.0	2.0	56.0
../evaluation_study_models_gaze	hydrocortisone	0.314	0.097	0.581	0.033	0.0	0.097	0.2	0.0	0.5	1.0	29.0	4.0	34.0
../evaluation_study_models_gaze	VTDIAV	0.532	0.325	0.748	0.908	0.846	0.968	0.967	0.923	1.0	59.0	6.0	2.0	1.0
../evaluation_study_models_gaze	PHOS	0.537	0.367	0.722	0.231	0.103	0.385	0.5	0.25	0.75	6.0	20.0	6.0	36.0
../evaluation_study_models_gaze	propofol	0.55	0.249	0.851	0.214	0.056	0.417	0.5	0.143	0.875	3.0	11.0	3.0	51.0
../evaluation_study_models_gaze	PT	0.73	0.477	0.936	0.25	0.0	0.667	0.25	0.0	0.667	1.0	3.0	3.0	61.0
../evaluation_study_models_gaze	BUN	0.581	0.455	0.69	0.559	0.419	0.7	0.633	0.484	0.778	19.0	15.0	11.0	23.0
../evaluation_study_models_gaze	PH	0.532	0.379	0.701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	58.0
