#model_id,model_type,max_train_auroc
0,rf-m,0.8546365914786967
1,rf-r,0.8
2,sv-m,0.9552042160737813
3,rf-m,0.7051282051282051
4,sv-m,0.9178321678321677
5,rf-m,0.8
6,lr-m,0.7743055555555555
7,lr-r,0.9629629629629629
8,rf-r,0.75
9,sv-m,0.9615384615384615
10,lr-m,0.7843137254901961
11,lr-m,0.735632183908046
12,sv-m,0.9375
13,lr-m,0.8642857142857142
14,lr-m,0.7575757575757575
15,rf-m,0.8190476190476191
16,lr-r,0.7824074074074073
17,lr-m,0.7878787878787878
18,rf-r,0.8196078431372549
19,rf-r,0.8434343434343434
20,lr-m,0.7678571428571427
21,rf-m,0.7973684210526316
22,rf-m,0.9444444444444444
23,sv-m,0.888888888888889
24,sv-m,0.8076923076923078
25,rf-m,0.8535714285714284
26,sv-m,0.8685064935064936
27,rf-r,0.7756410256410255
28,lr-r,0.8375000000000001
29,rf-m,0.8333333333333333
30,rf-m,0.8192307692307694
31,lr-m,0.7264150943396226
32,lr-r,0.7901234567901234
33,sv-m,0.9552042160737813
34,lr-m,0.7526881720430108
35,sv-m,0.8051282051282053
36,lr-m,0.7388888888888888
37,rf-m,0.7904761904761906
38,lr-r,0.9166666666666666
39,rf-r,0.7857142857142857
40,sv-m,0.7645833333333333
41,rf-m,0.78
42,rf-m,0.7647058823529411
43,rf-m,0.8391304347826087
44,rf-m,0.7777777777777778
45,rf-r,0.8836805555555556
46,sv-m,0.9030303030303032
47,rf-r,0.7666666666666667
48,rf-m,0.7730769230769231
49,sv-m,0.9689867424242424
50,rf-m,0.8255813953488372
51,rf-r,0.821875
52,rf-m,0.7753623188405797
53,sv-m,0.8025641025641027
54,rf-r,0.7438271604938272
55,lr-m,0.7270114942528735
56,rf-m,0.8900462962962963
57,lr-r,0.7666666666666666
58,lr-m,0.7954545454545453
59,sv-m,0.8401360544217686
60,sv-m,0.8516483516483517
61,lr-r,0.7518518518518519
62,rf-r,0.76010101010101
63,rf-r,0.8230769230769232
65,lr-m,0.925
66,lr-m,0.7621212121212121
67,rf-m,0.7368421052631579
68,lr-m,0.711111111111111
69,lr-r,0.9333333333333332
70,lr-r,0.9071428571428571
71,lr-m,0.7113821138211381
72,rf-m,0.8030303030303031
73,rf-m,0.8333333333333334
74,rf-m,0.738095238095238
75,rf-m,0.8888888888888888
76,rf-m,0.8626373626373627
77,sv-m,0.8686224489795921
78,rf-m,0.7447916666666666
79,sv-m,0.8916666666666666
80,lr-r,0.9727272727272728
81,rf-r,0.8888888888888888
82,lr-m,0.8703703703703703
83,rf-m,0.9019607843137254
84,rf-r,0.8020833333333333
85,lr-m,0.84375
86,sv-m,0.8133333333333332
87,rf-m,0.7978260869565218
