#dir	item	auroc	lower-auroc	upper-auroc	precision	lower-pre	upper-pre	recall	lower-re	upper-re	tp	fp	fn	tn
../evaluation_study_models_manual	NEUTR	0.391	0.207	0.644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	56.0
../evaluation_study_models_manual	vancomycin	0.761	0.653	0.87	0.353	0.229	0.5	0.706	0.5	0.882	12.0	22.0	5.0	29.0
../evaluation_study_models_manual	VTHR	0.547	0.412	0.659	0.618	0.529	0.721	1.0	1.0	1.0	42.0	26.0	0.0	0.0
../evaluation_study_models_manual	levothyroxine	0.806	0.754	0.851	0.019	0.018	0.061	1.0	1.0	1.0	1.0	51.0	0.0	16.0
../evaluation_study_models_manual	LACT	0.702	0.572	0.828	0.262	0.157	0.386	1.0	1.0	1.0	11.0	31.0	0.0	26.0
../evaluation_study_models_manual	VTSO2A	0.569	0.455	0.691	0.456	0.356	0.574	0.897	0.794	0.971	26.0	31.0	3.0	8.0
../evaluation_study_models_manual	PTT	0.433	0.343	0.537	0	0	0	0.0	0.0	0.0	0.0	0.0	1.0	67.0
../evaluation_study_models_manual	O2VENT	0.765	0.657	0.858	0.605	0.475	0.733	0.852	0.733	0.96	23.0	15.0	4.0	26.0
../evaluation_study_models_manual	fentanyl	0.388	0.264	0.529	0.25	0.0	1.0	0.071	0.0	0.2	1.0	3.0	13.0	51.0
../evaluation_study_models_manual	midazolam	0.348	0.208	0.511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	2.0	31.0
../evaluation_study_models_manual	pantoprazole	0.526	0.398	0.712	0.154	0.042	0.28	0.444	0.2	0.8	4.0	22.0	5.0	37.0
../evaluation_study_models_manual	chlorhexidine topical	0.43	0.249	0.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	6.0	54.0
../evaluation_study_models_manual	VTTEMA	0.702	0.583	0.811	0.618	0.515	0.706	1.0	1.0	1.0	42.0	26.0	0.0	0.0
../evaluation_study_models_manual	CO2	0.525	0.402	0.683	0.245	0.146	0.349	0.8	0.688	1.0	12.0	37.0	3.0	16.0
../evaluation_study_models_manual	famotidine	0.641	0.502	0.766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	56.0
../evaluation_study_models_manual	levETIRAcetam	0.008	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	61.0
../evaluation_study_models_manual	DBILI	0.671	0.545	0.81	0	0	0	0.0	0.0	0.0	0.0	0.0	9.0	59.0
../evaluation_study_models_manual	CREAT	0.466	0.276	0.67	0.875	0.8	0.938	0.949	0.898	0.984	56.0	8.0	3.0	1.0
../evaluation_study_models_manual	VTCVP	0.466	0.265	0.677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	62.0
../evaluation_study_models_manual	Sodium Chloride 0.9%	0.369	0.254	0.504	0.346	0.2	0.5	0.321	0.185	0.483	9.0	17.0	19.0	23.0
../evaluation_study_models_manual	furosemide	0.39	0.269	0.502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	3.0	29.0
../evaluation_study_models_manual	hydrocortisone	0.517	0.273	0.774	0.083	0.033	0.15	1.0	1.0	1.0	5.0	55.0	0.0	8.0
../evaluation_study_models_manual	VTDIAV	0.433	0.216	0.641	0.897	0.838	0.956	1.0	1.0	1.0	61.0	7.0	0.0	0.0
../evaluation_study_models_manual	PHOS	0.454	0.33	0.591	0.125	0.034	0.259	0.25	0.067	0.467	3.0	21.0	9.0	35.0
../evaluation_study_models_manual	propofol	0.641	0.402	0.866	0.273	0.071	0.5	0.5	0.143	0.875	3.0	8.0	3.0	54.0
